fiscal_year,fiscal_quarter,revenue,cogs,labor_costs,other_sga,cogs_ratio,gross_margin,net_profit
2024,1,147856.09,75373.68,153075.5,26284.67,50.98,72482.41,-106877.76
2024,2,154746.19,75750.55,142513.29,26416.09,48.95,78995.64,-89933.74
2024,3,161957.36,76129.3,132679.88,26548.17,47.01,85828.05999999998,-73399.99000000002
2024,4,169504.57,76509.95,123524.97,26680.91,45.14,92994.62000000001,-57211.259999999995
2025,1,177403.48,76892.5,115001.74,26814.32,43.34,100510.98000000001,-41305.079999999994
2025,2,185670.49,77276.96,107066.62,26948.39,41.62,108393.52999999998,-25621.48000000001
2025,3,194322.73,77663.35,99679.03,27083.13,39.97,116659.38,-10102.779999999995
2025,4,203378.17,78051.66,92801.17,27218.55,38.38,125326.51000000001,5306.790000000012
2026,1,212855.59,78441.92,86397.89,27354.64,36.85,134413.66999999998,20661.139999999985
